345215,1363598,198498,100687,109318,759472,2876789,
395468,1562099,227394,115345,125231,870030,3295567,
380575,1503270,,218830,111001,120516,837264,3171456,
415195,1640022,238737,121099,131478,913430,3459961,
440575,1740270,253330,128501,139515,969265,3671456,


124148,552457,74489,33106,39313,231742,1034563,
204681,910826,122808,54582,64816,382070,1705667,
200948,894220,120569,53586,63634,375103,1674569,
257684,1146693,154610,68715,81600,481009,2147365,
304757,1356170,182854,81269,96507,568880,2539643,

